,year,rGDP_USD,imports_GDP,govdebt_GDP,M2,infl,unemp,cbrate,ltrate,Δ_govdebt_GDP,Δ_M2,Country,Year,Consumer_Confidence,inflation_bin,kmeans_cluster,infl_lagged
263,1999,0.12356977030247644,0.26803058773806315,0.21860324471926582,0.0008377238595755848,0.11736236216519627,0.4599450971145929,0.06330716316499554,0.23804806467309733,0.377091028626087,0.46645252000811455,Germany,1999,0.21244450050068234,Target,1.0,0.20203637411172193
264,2000,0.127242477411002,0.3257921986218564,0.21425740585236386,0.0008282462947666391,0.16912264251719047,0.4272633752204297,0.10129146106399287,0.27485488094249955,0.3202830144927915,0.3566204584650001,Germany,2000,0.22641607332093167,Target,1.0,0.16794424397640506
265,2001,0.1293850813851769,0.3183873075957075,0.20960059544668697,0.0008811834824166058,0.20203637411172193,0.41920046925987553,0.0965434238266182,0.2526110674091848,0.31685712724311565,0.5215332421781216,Germany,2001,0.20077701161921097,Target,1.0,0.14453660332348642
266,2002,0.1290804577179875,0.2917454632621967,0.2162177610168168,0.0008935292576282588,0.16794424397640506,0.4622027598061471,0.07280323763974486,0.25199170682970995,0.41680181310156517,0.4121653773882252,Germany,2002,0.15361682546805355,Target,1.0,0.18277416945263963
267,2003,0.12836764425222874,0.2989855033414809,0.22977489272283969,0.0009237077569043438,0.14453660332348642,0.5217609065726239,0.04748037237374665,0.21808393060709466,0.4754034908202513,0.45554421680190227,Germany,2003,0.1393020912101139,Target,1.0,0.17557984460877402
268,2004,0.12991724566746535,0.3179913439148232,0.23616768467922442,0.0009321253932646892,0.18277416945263963,0.5553564269124458,0.04431501421549688,0.2164663464284273,0.41012554489778197,0.4014327086571869,Germany,2004,0.15229320277981945,Target,1.0,0.17742774373869208
269,2005,0.13109906445665695,0.3470999403922278,0.2445405061684107,0.0009795132173094179,0.17557984460877402,0.5916396004900689,0.04589769329462176,0.18395302865771798,0.4246442322957302,0.4930563988610963,Germany,2005,0.17155926635300534,Target,1.0,0.2210784192210089
270,2006,0.13631347811056221,0.3871295354489413,0.24176136976816462,0.0010286469085557944,0.17742774373869208,0.5397143476367593,0.0680552004023702,0.2034717251286753,0.33612241174405894,0.4916412309764497,Germany,2006,0.20563029480940284,Target,1.0,0.24106303905408802
271,2007,0.14036186271498977,0.39369101637354015,0.23123925540791793,0.0011403824094612602,0.2210784192210089,0.4590850622692488,0.09337806566836843,0.2250237399186256,0.2752739948411643,0.6202428619635029,Germany,2007,0.22837699582201929,Target,1.0,0.10085061512130145
272,2008,0.14167510947310258,0.406774447858162,0.23716360214977458,0.0012490002903637833,0.24106303905408802,0.39904315060564044,0.09021270751011864,0.2139730172122977,0.40599336991895013,0.5910833060085111,Germany,2008,0.17606938810550687,Target,1.0,0.14874948588567177
